GeneName,geneid,baseMean,log2FoldChange,pvalue,padj
FBXL21,26223,17.48561481,-2.077300038,2.42E-08,9.29E-08
SAMD13,148418,370.3896456,1.043254533,2.42E-08,0.000000093
ASB13,79754,1278.942594,0.414172883,2.43E-08,9.32E-08
OGFOD1,55239,1546.173579,-0.252349772,2.44E-08,9.37E-08
ALCAM,214,11249.13536,0.642659134,2.45E-08,9.39E-08
SLC35E2B,728661,5698.671539,0.428329392,2.47E-08,9.47E-08
,54435,80.33694161,-1.062174196,2.48E-08,0.000000095
DNAJC30,84277,1273.137878,0.36564928,2.48E-08,9.51E-08
TTC9B,148014,2.913477921,1.760580263,2.49E-08,9.54E-08
MRPS15,64960,2809.98937,0.503961507,2.49E-08,9.54E-08
SLC25A4,291,3568.177147,-0.437674075,2.51E-08,9.63E-08
C20orf96,140680,692.944192,0.565015176,2.53E-08,0.000000097
LMNB2,84823,2287.238379,0.330570266,2.53E-08,0.000000097
RPL4,6124,89510.33778,0.533800199,2.56E-08,9.81E-08
C9orf142,286257,1422.365204,0.650687513,2.57E-08,9.82E-08
AHCY,191,13406.79524,0.402285998,2.58E-08,9.87E-08
ZNF227,7770,906.4605421,0.27828956,2.58E-08,9.87E-08
RMI1,80010,965.5277613,0.516937145,2.58E-08,9.88E-08
PEX19,5824,4816.236471,-0.265472836,0.000000026,9.95E-08
GPR153,387509,362.1781195,-0.678500671,2.61E-08,9.99E-08
EVPL,2125,3067.154154,0.449145525,2.62E-08,0.0000001
ZSCAN22,342945,255.1560707,0.312775428,2.62E-08,0.0000001
NDUFA10,4705,4465.5794,0.327430973,2.66E-08,0.000000102
SMTNL2,342527,76.94408055,-1.498925943,2.67E-08,0.000000102
CFAP70,118491,336.4864864,0.904293852,0.000000027,0.000000103
NCBP2,22916,4023.977423,0.271487664,2.73E-08,0.000000104
SLC2A1,6513,2899.502269,-0.465339295,2.74E-08,0.000000105
ANAPC11,51529,4146.288364,0.546688708,2.77E-08,0.000000106
TMEM242,729515,907.0890312,-0.287082037,2.79E-08,0.000000106
FAM89A,375061,216.2258449,-0.569148042,2.76E-08,0.000000106
,100128285,46.79421643,-0.682626704,2.77E-08,0.000000106
ITGA2B,3674,10.94407154,-0.976852067,2.77E-08,0.000000106
CDC20B,166979,17.70698806,2.031497601,2.81E-08,0.000000107
ZDHHC24,254359,932.7026369,0.495979647,2.81E-08,0.000000107
PDE8A,5151,946.9124231,-0.306449706,2.81E-08,0.000000107
TMEM185A,84548,1304.408367,-0.336254085,2.81E-08,0.000000107
SMIM3,85027,1060.937389,-0.439817976,2.81E-08,0.000000107
WFDC13,164237,0.555575683,-2.260582238,0.000000028,0.000000107
SHE,126669,303.9764539,-0.723355174,2.85E-08,0.000000108
CDH22,64405,110.2197615,-1.266606097,2.85E-08,0.000000108
INSM2,84684,3.070649624,2.163137827,2.87E-08,0.000000109
CTAGE9,643854,391.5071403,0.691761403,2.87E-08,0.000000109
ALDH2,217,7990.153228,-0.782190012,2.86E-08,0.000000109
OR13A1,79290,28.85148739,1.191998311,2.89E-08,0.00000011
DOCK4,9732,1236.159541,0.63276378,0.000000029,0.00000011
,645332,317.919862,0.428504267,2.88E-08,0.00000011
UTP3,57050,1477.411034,0.283961965,0.000000029,0.00000011
INTS2,57508,591.4484728,-0.438614852,2.89E-08,0.00000011
MBD5,55777,608.8085465,-0.487352313,2.91E-08,0.00000011
CXCR1,3577,14.69543558,-1.665708602,2.92E-08,0.000000111
ALKBH8,91801,397.5069778,-0.293685555,2.96E-08,0.000000112
PLEKHG1,57480,341.5931697,-0.769682206,2.94E-08,0.000000112
GCSAM,257144,41.20274496,-0.757143871,2.94E-08,0.000000112
IL5RA,3568,148.1297093,1.908729857,2.96E-08,0.000000113
PABPC1L2B,645974,829.2162858,1.213818321,2.97E-08,0.000000113
,80054,571.9522249,0.663864155,2.98E-08,0.000000113
,171423,11274.91242,0.482127376,2.99E-08,0.000000113
C8orf82,414919,2640.481912,0.588074902,2.98E-08,0.000000113
TMEM129,92305,4358.823558,0.369839877,2.97E-08,0.000000113
TSFM,10102,1317.919543,0.347132685,2.97E-08,0.000000113
PAGR1,79447,3227.516096,0.447811265,0.00000003,0.000000114
SLC35E1,79939,7426.902859,0.347934875,0.00000003,0.000000114
ABHD17A,81926,1850.708684,0.491216014,3.07E-08,0.000000116
SDCBP2,27111,201.0009817,-0.844342433,3.07E-08,0.000000116
NR2F2,7026,4199.138188,-0.387814402,3.05E-08,0.000000116
MAL2,114569,7185.203484,0.626521027,0.000000031,0.000000117
GSN,2934,21505.7222,-0.68315109,3.08E-08,0.000000117
NHLH2,4808,7.355314593,-1.44112724,0.000000031,0.000000117
SLC39A4,55630,959.8307539,0.944013485,0.000000031,0.000000118
SLC5A8,160728,87.20226796,-1.771104725,3.11E-08,0.000000118
CNIH2,254263,27.92997758,0.969360211,3.14E-08,0.000000119
CRK,1398,1850.853804,-0.372450293,3.15E-08,0.000000119
,284353,78.33964687,-0.710716343,3.16E-08,0.000000119
CSTA,1475,312.9404821,-1.077449795,3.15E-08,0.000000119
,400927,46.92409641,0.678520272,3.18E-08,0.00000012
E2F3,1871,616.1346622,0.512996162,0.000000032,0.000000121
BBS1,582,2635.857488,-0.241745517,3.21E-08,0.000000121
GPR85,54329,40.52311919,-0.972365036,0.000000032,0.000000121
SGOL1,151648,26.38694577,1.135250107,3.23E-08,0.000000122
MED19,219541,706.4209592,0.343742513,3.23E-08,0.000000122
CDK10,8558,2255.223751,0.640860133,3.26E-08,0.000000123
,100129405,219.87112,0.68015744,3.28E-08,0.000000124
NFE2L1,4779,17796.88741,-0.313179989,3.28E-08,0.000000124
FMO2,2327,350.3599717,-1.079109901,3.28E-08,0.000000124
OMP,4975,3.252676532,1.658487584,3.32E-08,0.000000125
TMEM63C,57156,68.53279565,1.259556252,3.31E-08,0.000000125
,1564,33.08999694,1.171681746,0.000000033,0.000000125
,8551,117.7404545,0.997843718,0.000000033,0.000000125
NUDT6,11162,189.6132003,0.483719386,3.33E-08,0.000000125
RBM14,10432,2609.062324,0.205959332,3.32E-08,0.000000125
TMEM200C,645369,9.75637835,-1.256840176,3.33E-08,0.000000125
,388685,10.52990877,0.861625578,3.34E-08,0.000000126
OR51A7,119687,1.105084903,2.540748642,3.36E-08,0.000000127
CUTA,51596,8180.066156,0.483272082,3.36E-08,0.000000127
,503538,111.3794094,-0.851183334,3.38E-08,0.000000127
PRAME,23532,40.0257792,2.169424671,0.000000034,0.000000128
MTTP,4547,14.94168017,-1.121460402,3.39E-08,0.000000128
,246181,25.98202418,0.93567481,3.44E-08,0.000000129
CHML,1122,534.3200058,0.554013403,3.44E-08,0.000000129
IRAK4,51135,880.7166504,-0.253550271,3.43E-08,0.000000129
CNP,1267,8002.105079,0.318101957,3.46E-08,0.00000013
OAZ3,51686,647.9721381,0.753779248,3.49E-08,0.000000131
CRHR2,1395,2.662866779,-1.925132236,3.48E-08,0.000000131
PCDHB11,56125,222.9435358,1.19016475,3.52E-08,0.000000132
EIF4ENIF1,56478,1369.044063,-0.195995154,3.51E-08,0.000000132
ACSS2,55902,1923.496705,-0.322319711,3.52E-08,0.000000132
C1QTNF7,114905,366.6478822,-1.008799251,3.55E-08,0.000000134
XPR1,9213,1692.690516,-0.425276412,3.59E-08,0.000000135
IL4I1,259307,135.4541693,0.777217661,3.61E-08,0.000000136
SUPT20HL2,170067,3.592297577,-1.299421198,3.65E-08,0.000000137
CNGB1,1258,1.981079632,-1.4901211,3.64E-08,0.000000137
FAM161B,145483,307.375331,-0.596573869,3.68E-08,0.000000138
PLCH2,9651,973.6884603,-0.785475462,3.68E-08,0.000000138
SLC7A1,6541,5189.103969,0.602118738,3.71E-08,0.000000139
PRKRIR,5612,2847.64634,0.339249415,3.72E-08,0.000000139
SLC16A8,23539,37.01664772,0.925996248,3.76E-08,0.000000141
SLC38A6,145389,294.2152697,0.326168435,3.75E-08,0.000000141
ZFP92,139735,3.174532604,-1.336842656,3.76E-08,0.000000141
ATP2C1,27032,18125.92324,0.54191598,3.78E-08,0.000000142
,92973,142.9312392,-0.564531903,3.78E-08,0.000000142
STK39,27347,5097.611364,0.664430079,3.82E-08,0.000000143
RPL22,6146,21978.10434,0.429259778,3.84E-08,0.000000144
GBP2,2634,2831.48731,-0.712897886,3.84E-08,0.000000144
SERP1,27230,20775.15038,0.447778856,3.88E-08,0.000000145
C2orf15,150590,142.2908304,0.537131738,3.89E-08,0.000000146
CCDC13,152206,24.50035509,-0.763925749,3.93E-08,0.000000147
ATOH8,84913,1127.411523,-0.855615118,3.94E-08,0.000000147
RALGAPA2,57186,2727.99935,1.026869837,3.97E-08,0.000000149
SHARPIN,81858,3225.164325,0.49486195,3.98E-08,0.000000149
KLK1,3816,122.7873874,-1.154334104,3.98E-08,0.000000149
IMMP1L,196294,249.2230078,0.442637682,4.03E-08,0.000000151
,155370,1051.126567,-0.319220893,4.07E-08,0.000000152
HTR1D,3352,15.17713455,-1.101438938,0.000000041,0.000000153
FGF23,8074,0.442876608,-2.25717205,4.08E-08,0.000000153
WDR38,401551,13.80445266,2.079955417,4.13E-08,0.000000154
GRINA,2907,14280.23729,0.462890967,4.13E-08,0.000000154
ALDH1B1,219,3623.859384,-0.562776484,4.13E-08,0.000000154
TIGD3,220359,39.97120047,0.798852741,4.15E-08,0.000000155
EIF4E2,9470,2990.175427,0.276852759,4.16E-08,0.000000155
TWF1,5756,4900.716718,-0.456933419,4.16E-08,0.000000155
CPQ,10404,1845.567431,-0.534164683,4.14E-08,0.000000155
CRISPLD2,83716,7402.643949,-0.749587336,4.16E-08,0.000000155
RPS6KC1,26750,3113.735902,0.758243649,4.19E-08,0.000000156
UTP18,51096,1447.904847,0.297453589,4.19E-08,0.000000156
ZRANB1,54764,2403.93323,-0.256786149,4.18E-08,0.000000156
KCTD10,83892,3850.688953,-0.378795707,4.17E-08,0.000000156
TMOD1,7111,1056.00964,-0.565579769,4.18E-08,0.000000156
LCN1,3933,1.137810549,-3.169675717,4.18E-08,0.000000156
PKIG,11142,2397.801372,-0.623789056,4.22E-08,0.000000157
FAHD2A,51011,931.9058216,0.417542869,4.24E-08,0.000000158
ZFR,51663,4521.034319,-0.293651502,4.24E-08,0.000000158
SMAD1,4086,1141.401885,-0.330227255,4.25E-08,0.000000158
PODXL,5420,2944.750303,-0.656707305,4.26E-08,0.000000158
LYPD6B,130576,418.2351342,-1.096512209,4.25E-08,0.000000158
UPK3B,80761,29.49162401,-1.04401803,4.25E-08,0.000000158
SOX14,8403,56.9160938,1.758209011,4.28E-08,0.000000159
RPL41,6171,57251.71742,0.513733003,4.26E-08,0.000000159
RNF11,26994,5809.447635,-0.29210689,4.29E-08,0.00000016
CHRFAM7A,89832,72.76844338,-1.074718168,0.000000043,0.00000016
COA7,65260,350.6653955,0.353141161,4.33E-08,0.000000161
CDK8,1024,351.7058385,-0.490832146,4.34E-08,0.000000161
EMC9,51016,750.5824384,0.66895928,4.35E-08,0.000000162
WDR5B,54554,969.6745697,0.334038906,4.35E-08,0.000000162
ETF1,2107,5169.996198,-0.240375256,4.34E-08,0.000000162
SLC7A6OS,84138,329.1817531,-0.34375532,4.36E-08,0.000000162
ANKRD44,91526,104.9795343,-0.937519762,4.37E-08,0.000000162
LMOD3,56203,29.72578979,-1.404047703,4.36E-08,0.000000162
DCAF4L1,285429,11.57568387,0.965846288,4.41E-08,0.000000164
,606724,40.82415632,1.028790378,4.41E-08,0.000000164
ACRC,93953,32.23039384,0.769732681,4.42E-08,0.000000164
S1PR3,1903,1436.038114,-0.833235073,4.43E-08,0.000000164
STRN4,29888,5278.791209,0.275288246,4.48E-08,0.000000166
PURA,5813,995.3229726,-0.354729822,4.47E-08,0.000000166
HPDL,84842,49.64894508,-1.07625831,4.48E-08,0.000000166
TMEM11,8834,1801.809005,0.396929435,4.53E-08,0.000000168
EIF4EBP1,1978,1899.876981,0.869778601,0.000000046,0.000000171
PCGF2,7703,2354.335722,0.405200264,4.62E-08,0.000000171
GRM1,2911,3.530557364,-1.3212984,0.000000046,0.000000171
USMG5,84833,2304.329648,0.586625696,4.63E-08,0.000000172
NDUFA2,4695,3784.092665,0.569878944,4.65E-08,0.000000172
POM121,9883,5201.17774,0.347484694,4.63E-08,0.000000172
POLR2F,5435,1860.356929,0.474991259,4.63E-08,0.000000172
AKTIP,64400,1481.545124,-0.321684242,4.64E-08,0.000000172
ARID4A,5926,1075.983349,-0.378627819,4.69E-08,0.000000173
GABARAPL1,23710,4364.396643,-0.379310882,4.71E-08,0.000000174
FOSL2,2355,3331.882367,-0.735398994,4.69E-08,0.000000174
HOXC9,3225,21.43607222,1.737074482,4.74E-08,0.000000175
,388524,25759.63597,0.540538164,4.72E-08,0.000000175
C2orf68,388969,2208.927123,0.261806182,4.76E-08,0.000000176
TMEM190,147744,5.798418977,1.969092725,4.79E-08,0.000000177
SYS1,90196,2237.810125,-0.258566367,4.82E-08,0.000000178
TBC1D10A,83874,1535.486796,-0.323996576,4.82E-08,0.000000178
,222183,132.356523,-0.757666826,4.86E-08,0.00000018
CHRNA7,1139,23.94962259,-1.496608266,4.87E-08,0.00000018
RNASE11,122651,0.523921388,-3.105728478,4.86E-08,0.00000018
SPTAN1,6709,11968.5219,-0.320022266,4.89E-08,0.000000181
UPF1,5976,9196.155254,0.259655923,4.94E-08,0.000000182
LYAR,55646,579.4841779,0.384754845,4.97E-08,0.000000183
GABPB1,2553,979.6275174,0.308360614,4.95E-08,0.000000183
ZFP36L2,678,9747.841838,-0.634223741,4.97E-08,0.000000183
,128854,91.66901139,-0.841741717,4.96E-08,0.000000183
MP68,9556,2891.964527,0.52804169,4.99E-08,0.000000184
SPHK2,56848,1299.263984,0.378817287,4.99E-08,0.000000184
FAM24B,196792,44.61199654,0.692455159,5.01E-08,0.000000185
CSDC2,27254,469.3350546,-0.916083078,5.02E-08,0.000000185
TEN1,100134934,1298.929156,0.548408178,5.05E-08,0.000000186
TOMM5,401505,2115.261576,0.376866457,5.05E-08,0.000000186
IRF6,3664,2907.381653,-0.572592861,5.04E-08,0.000000186
OSBP2,23762,462.7495039,0.399550106,5.08E-08,0.000000187
DYNC1LI2,1783,6335.510131,-0.277659912,5.08E-08,0.000000187
SLC9A5,6553,43.40654851,0.817989314,5.14E-08,0.000000189
THOC1,9984,846.7781272,0.407310045,5.13E-08,0.000000189
,284379,0.469862452,-2.772214332,5.14E-08,0.000000189
STK32B,55351,27.84030184,-0.765943648,5.17E-08,0.00000019
TBXA2R,6915,91.68028478,-0.774714286,5.21E-08,0.000000192
BRIX1,55299,1277.581893,0.327382792,5.25E-08,0.000000193
GABRP,2568,834.0208093,-1.338891322,5.25E-08,0.000000193
HIST1H3A,8350,2.367911271,1.467285808,5.27E-08,0.000000194
CDC37,11140,8049.953101,0.32070642,5.26E-08,0.000000194
TENC1,23371,4921.712331,-0.44498703,5.29E-08,0.000000194
CXCL11,6373,362.1238037,1.217690017,5.31E-08,0.000000195
PARP4,143,2820.952564,-0.45861207,0.000000053,0.000000195
SLC10A1,6554,1.108582561,-2.218305009,5.37E-08,0.000000197
SPIN3,169981,798.1654199,0.346532195,5.38E-08,0.000000198
UBALD1,124402,1468.366531,0.462414549,5.43E-08,0.000000199
UQCRQ,27089,8274.568403,0.632194072,5.46E-08,0.0000002
RPS11,6205,82704.18756,0.569251786,0.000000055,0.000000202
MRPL53,116540,2277.340443,0.55720518,5.51E-08,0.000000202
ZNF544,27300,1255.485725,0.265418304,5.51E-08,0.000000202
CDH16,1014,6.068264077,-2.845840195,5.51E-08,0.000000202
MIA3,375056,12389.68235,0.56579739,5.52E-08,0.000000203
ZNF706,51123,2607.364802,0.416290053,5.55E-08,0.000000203
ACER1,125981,31.21818284,-1.392895384,5.54E-08,0.000000203
C9orf139,401563,5.368861789,1.110887352,5.55E-08,0.000000204
,8335,1.07541827,2.369612553,5.62E-08,0.000000206
ATG4B,23192,3071.571746,0.37959867,5.63E-08,0.000000206
,147947,1723.818428,0.358714236,5.64E-08,0.000000207
LUC7L,55692,1578.40055,0.612343607,5.67E-08,0.000000208
THUMPD2,80745,555.2544684,0.40161922,5.69E-08,0.000000208
KIF15,56992,88.46898886,1.052889414,5.75E-08,0.00000021
NUP93,9688,2640.084788,0.476777007,5.75E-08,0.00000021
GALNT15,117248,97.42637005,-0.879853557,5.74E-08,0.00000021
POPDC3,64208,94.49726013,1.4028106,5.75E-08,0.000000211
AFMID,125061,1934.340191,0.508303997,5.79E-08,0.000000212
NFASC,23114,961.528037,-0.816071403,0.000000058,0.000000212
KCNAB3,9196,31.92848501,1.049627275,5.85E-08,0.000000214
F8A1,8263,371.6675051,0.396676198,5.85E-08,0.000000214
ATP6V1E2,90423,246.3172609,0.439373823,5.85E-08,0.000000214
GPR56,9289,6361.286671,-0.531585083,5.84E-08,0.000000214
RPS3,6188,73679.20965,0.583920173,5.89E-08,0.000000215
TMEM258,746,4145.419528,0.478269917,5.87E-08,0.000000215
PPM1F,9647,1737.48327,-0.425700676,5.89E-08,0.000000215
LRP2,4036,20.33048263,-1.251354516,5.87E-08,0.000000215
DPY19L2,283417,545.2331337,1.103966422,5.91E-08,0.000000216
NVL,4931,1342.580055,0.513182869,5.91E-08,0.000000216
ZNF84,7637,1672.980263,0.32526042,5.91E-08,0.000000216
CS,1431,7698.082578,0.239792386,5.92E-08,0.000000216
NEBL,10529,2875.777338,-0.534129794,5.91E-08,0.000000216
STEAP1,26872,6606.150896,0.754750516,5.97E-08,0.000000218
NOVA1,4857,164.6114645,-0.889761894,5.96E-08,0.000000218
GOLGA2,2801,6358.80297,0.305390244,6.01E-08,0.000000219
CDR2L,30850,1368.186728,0.623675317,6.04E-08,0.00000022
RB1,5925,2152.667238,-0.432467372,6.02E-08,0.00000022
NADSYN1,55191,2518.599471,0.388708737,0.000000061,0.000000222
RACGAP1,29127,486.0858365,0.558693064,6.11E-08,0.000000223
CRB3,92359,1056.530469,0.451443452,6.16E-08,0.000000224
CELSR1,9620,1657.362629,-0.580510094,6.17E-08,0.000000225
PSMD13,5719,7484.61163,0.43015295,6.21E-08,0.000000226
C7orf73,647087,3374.064985,0.338440863,0.000000062,0.000000226
PRMT2,3275,4555.106109,-0.248967531,0.000000062,0.000000226
ATP5E,514,9017.903106,0.54759536,6.23E-08,0.000000227
GPR149,344758,8.847818281,-2.909359239,6.22E-08,0.000000227
MARCH10,162333,11.88679733,1.239954883,6.26E-08,0.000000228
NDFIP2,54602,2316.794589,-0.426865077,6.27E-08,0.000000228
NUDT1,4521,382.2383551,0.677824239,6.28E-08,0.000000229
,221016,90.37501673,0.464587991,6.31E-08,0.00000023
VWA7,80737,68.46421524,-0.946730676,6.33E-08,0.00000023
NPPA,4878,8.718810272,1.337420406,6.36E-08,0.000000231
FBXL19,54620,1057.224894,0.366188921,6.35E-08,0.000000231
GPS1,2873,6845.767998,0.387773661,6.36E-08,0.000000231
DGKI,9162,4.773084718,-1.017361871,6.36E-08,0.000000231
PPM1J,333926,230.608318,0.7605223,6.42E-08,0.000000233
TBC1D5,9779,2888.172609,-0.319224589,6.41E-08,0.000000233
NCAPG2,54892,572.8238016,0.471828565,6.45E-08,0.000000234
TMEM151A,256472,17.44049619,1.125298168,6.47E-08,0.000000235
RELN,5649,568.3461822,1.308997961,6.49E-08,0.000000236
SEH1L,81929,1786.511962,0.325087114,6.51E-08,0.000000236
POLR2I,5438,1511.297968,0.56597812,6.55E-08,0.000000238
PTGFRN,5738,4100.766046,-0.416829104,6.55E-08,0.000000238
STK32A,202374,11.67050898,-1.461109174,6.57E-08,0.000000238
PHF11,51131,847.4692142,-0.413965533,0.000000066,0.000000239
ARHGEF37,389337,4824.060137,-0.638473953,6.58E-08,0.000000239
YIPF2,78992,3475.332572,0.321287612,6.61E-08,0.00000024
DLX3,1747,44.58933854,-0.945764861,6.62E-08,0.00000024
C11orf85,283129,6.997388264,1.580928188,6.67E-08,0.000000242
MTHFR,4524,2411.973948,0.499536731,6.67E-08,0.000000242
RNPS1,10921,7285.77092,0.296662716,6.67E-08,0.000000242
NHLRC4,283948,98.3606405,-0.887469806,6.75E-08,0.000000244
,100189589,1.345947983,-1.815551055,6.73E-08,0.000000244
SLC8B1,80024,1675.566653,0.367853987,6.76E-08,0.000000245
MPLKIP,136647,1099.999478,0.362994529,6.76E-08,0.000000245
GFER,2671,1241.137114,0.429511089,6.83E-08,0.000000247
ARSK,153642,526.270215,-0.468890831,6.84E-08,0.000000247
SMCO3,440087,249.4645137,1.281824262,6.87E-08,0.000000249
RENBP,5973,249.2533321,0.955767535,6.92E-08,0.00000025
SORCS2,57537,295.2189541,-1.004020098,6.92E-08,0.00000025
POF1B,79983,209.8149849,-1.231130588,6.97E-08,0.000000252
ECI1,1632,3909.699887,0.566229445,6.99E-08,0.000000253
MGST2,4258,4043.920575,0.486219044,6.98E-08,0.000000253
CCDC68,80323,213.1815718,-0.868031052,7.02E-08,0.000000254
PGLYRP2,114770,4.839497887,-1.416869899,7.02E-08,0.000000254
CCDC138,165055,116.7999317,0.690932801,7.07E-08,0.000000255
UQCRH,7388,5347.896021,0.469933614,7.06E-08,0.000000255
,10301,170.7732796,-0.560258444,7.07E-08,0.000000255
BUB3,9184,3387.057022,0.266227786,0.000000071,0.000000256
PXDN,7837,5634.241834,0.679831256,7.12E-08,0.000000257
CAPN10,11132,949.6487403,0.430256046,7.11E-08,0.000000257
BCCIP,56647,3197.022544,0.326349684,7.11E-08,0.000000257
,283867,2.283066381,1.938613405,7.16E-08,0.000000258
,148713,4.625760082,1.266864297,7.17E-08,0.000000259
ZNF606,80095,856.8645431,0.341029175,7.25E-08,0.000000261
PIK3R2,5296,3927.666595,0.31286707,7.23E-08,0.000000261
KIAA1217,56243,5644.800813,-0.430111408,7.23E-08,0.000000261
PCBP3,54039,84.92418408,1.039946094,7.26E-08,0.000000262
IFRD2,7866,3588.218594,0.424399297,7.27E-08,0.000000262
POLRMT,5442,1969.254749,0.358656969,7.28E-08,0.000000262
HHAT,55733,573.8997476,-0.605951685,7.28E-08,0.000000262
SGSM1,129049,263.9160838,-0.735803062,7.28E-08,0.000000262
PVRIG,79037,121.324867,0.68847576,7.29E-08,0.000000263
PDZD8,118987,1078.147464,-0.720219652,7.29E-08,0.000000263
GRM4,2914,17.80902591,1.153017685,7.33E-08,0.000000264
SLC22A16,85413,13.29142821,1.512778771,7.37E-08,0.000000265
C6orf48,50854,4984.7849,0.515328709,7.39E-08,0.000000266
FTL,2512,68740.58219,0.439131408,7.41E-08,0.000000266
PLCXD1,55344,751.3032881,0.43650525,7.38E-08,0.000000266
RRAGB,10325,824.8670301,-0.373401667,7.41E-08,0.000000266
,134466,107.4130924,-0.944920571,7.38E-08,0.000000266
RGS16,6004,299.8098657,-1.104367387,0.000000074,0.000000266
POLR1D,51082,4770.143079,0.354860045,7.44E-08,0.000000267
ESD,2098,3797.12092,-0.370254634,7.42E-08,0.000000267
RPEL1,729020,71.28350229,-0.541701072,7.46E-08,0.000000268
SLC44A1,23446,3566.559285,-0.463674519,7.52E-08,0.00000027
ADRB3,155,10.05929828,-1.942780135,7.51E-08,0.00000027
,79686,83.60502615,-0.812783557,7.56E-08,0.000000271
MARCO,8685,34.72877047,-1.580924725,7.57E-08,0.000000272
CXCL17,284340,402.1102111,-1.571966151,7.57E-08,0.000000272
FGF17,8822,20.78692357,1.171672562,0.000000076,0.000000273
APCDD1,147495,3711.613807,-0.723495811,0.000000076,0.000000273
CCL25,6370,4.559578601,1.534390341,7.64E-08,0.000000274
TIGD1,200765,271.1581472,0.540588952,7.71E-08,0.000000276
LYRM4,57128,932.0993047,0.470872289,7.71E-08,0.000000276
LETMD1,25875,3097.729313,0.326937351,7.69E-08,0.000000276
QSER1,79832,986.0475514,-0.645030788,7.68E-08,0.000000276
ARHGEF1,9138,3058.058614,0.32518302,7.74E-08,0.000000277
ALOX15,246,264.2100299,1.786870421,7.75E-08,0.000000278
ZNF85,7639,256.7201574,0.354778419,7.76E-08,0.000000278
RANBP1,5902,1651.602434,0.361085736,7.75E-08,0.000000278
SYNDIG1,79953,117.145999,-0.926967843,7.76E-08,0.000000278
,8332,1.693147267,1.653694761,0.000000078,0.000000279
MED8,112950,1685.728192,0.23634952,7.79E-08,0.000000279
TDP2,51567,3596.617099,-0.416491174,7.83E-08,0.00000028
RIN2,54453,2298.547613,-0.567159453,7.83E-08,0.00000028
CSF1,1435,693.2625287,-0.669809506,7.83E-08,0.00000028
PPFIA3,8541,1065.244244,0.711445176,7.86E-08,0.000000281
NDUFB11,54539,5187.415723,0.544199859,7.85E-08,0.000000281
IL1RAPL1,11141,29.45615498,1.623322356,7.89E-08,0.000000282
TMEM54,113452,3554.916868,0.507963654,7.93E-08,0.000000283
ITSN2,50618,2173.047013,-0.341159566,7.91E-08,0.000000283
PTEN,5728,3689.850111,-0.55786743,7.93E-08,0.000000283
GPR39,2863,80.12638313,-0.986823562,7.92E-08,0.000000283
AOC1,26,1690.518112,-1.857668025,7.91E-08,0.000000283
GPI,2821,13765.36776,0.375459956,7.95E-08,0.000000284
RBM5,10181,5260.931998,0.376357122,7.99E-08,0.000000285
XKR4,114786,8.583387896,-1.39132766,7.98E-08,0.000000285
,100130771,11.03005481,0.950955271,8.03E-08,0.000000286
TMEM256,254863,2702.704747,0.658482063,8.02E-08,0.000000286
MAML3,55534,2027.036955,0.43665414,8.01E-08,0.000000286
RPL26L1,51121,568.5061441,0.384012719,8.03E-08,0.000000286
IGFBP4,3487,13400.35541,-0.667680828,8.02E-08,0.000000286
AGAP1,116987,1001.234447,0.448757314,8.05E-08,0.000000287
C12orf45,121053,427.3531227,0.543883286,8.04E-08,0.000000287
RNF44,22838,2416.30504,0.341601976,8.04E-08,0.000000287
EIF3D,8664,12592.77457,0.341125295,8.04E-08,0.000000287
KCND1,3750,129.3326946,-0.697675134,8.04E-08,0.000000287
,51054,90.27910774,-0.568333455,8.07E-08,0.000000288
SIRT7,51547,750.155718,0.387683196,8.12E-08,0.000000289
C1orf43,25912,11347.75991,0.285207457,8.15E-08,0.00000029
CATSPERG,57828,80.82695096,0.50607082,0.000000082,0.000000292
P2RY14,9934,31.17628379,-0.901284367,0.000000082,0.000000292
DYNLT3,6990,1542.489175,-0.353273242,8.28E-08,0.000000295
DDX39B,7919,11120.15445,0.284234018,8.32E-08,0.000000296
CNPY4,245812,421.8343965,-0.497056084,8.35E-08,0.000000297
B3GNT5,84002,918.8419415,-0.882298099,8.36E-08,0.000000297
,171022,41.06445422,1.222939853,8.41E-08,0.000000299
HOXB13,10481,29586.50063,0.782134409,0.000000084,0.000000299
PIAS4,51588,792.6133624,0.257103204,0.000000084,0.000000299
NTRK3,4916,154.9910668,-1.055004507,0.000000084,0.000000299
LRRC8B,23507,1748.124619,0.528926322,8.48E-08,0.000000301
RDX,5962,3153.28166,-0.431846399,8.46E-08,0.000000301
STXBP4,252983,432.0564321,-0.517490079,8.47E-08,0.000000301
NGLY1,55768,1710.470458,0.27230708,8.49E-08,0.000000302
TOM1,10043,3819.884823,0.400075136,8.57E-08,0.000000304
RIN3,79890,738.5768221,-0.601044164,8.58E-08,0.000000305
DISP2,85455,119.8261257,-1.089703423,8.62E-08,0.000000306
,400322,1546.852332,0.747642841,8.66E-08,0.000000307
RAP1GDS1,5910,1446.162527,-0.286457175,8.69E-08,0.000000308
SUMF1,285362,3023.722079,0.321043051,8.74E-08,0.00000031
BRMS1L,84312,490.0506135,-0.287331456,8.73E-08,0.00000031
LRRCC1,85444,623.4069395,-0.506758613,8.73E-08,0.00000031
ZMPSTE24,10269,5571.760586,0.44607141,0.000000088,0.000000312
,441089,274.9295184,-0.306069498,8.83E-08,0.000000313
,285908,401.7808962,0.659805501,8.87E-08,0.000000314
