GeneName,geneid,baseMean,log2FoldChange,pvalue,padj
RBBP8,5932,838.9407928,-0.885059517,8.43E-31,7.68E-29
TRPM3,80036,18.84149564,-2.906165667,9.23E-31,8.37E-29
L3MBTL4,91133,99.5474504,-1.795245016,9.66E-31,8.72E-29
CFL2,1073,3361.794293,-1.441187672,9.74E-31,8.75E-29
FRMD6,122786,2291.700247,-1.520007,1.22E-30,1.09E-28
C20orf194,25943,1154.37782,-1.227602253,1.27E-30,1.13E-28
MMP26,56547,66.3344466,3.387110223,1.6E-30,1.41E-28
POU2F3,25833,106.2635883,-1.729016559,1.59E-30,1.41E-28
PDIA2,64714,82.80946526,3.548600224,1.76E-30,1.55E-28
ACSM1,116285,3897.944196,2.85899232,1.85E-30,1.62E-28
RAB3D,9545,9176.451133,0.980238783,2E-30,1.74E-28
HOXB5,3215,70.32748772,-3.626419393,2.42E-30,2.1E-28
MEX3D,399664,1351.051506,0.852522536,2.52E-30,2.17E-28
FOXQ1,94234,393.4145652,-2.169611121,2.85E-30,2.44E-28
GATM,2628,535.0979465,-1.528479583,3E-30,2.56E-28
ASPHD1,253982,253.8364341,1.680466702,3.39E-30,2.88E-28
TMEM132A,54972,2386.717975,1.643165505,4.01E-30,3.39E-28
ANKMY2,57037,937.5407389,-0.706944073,4.21E-30,3.54E-28
CAV1,857,4923.897912,-1.732977424,4.56E-30,3.83E-28
ABCA4,24,25.09486347,-2.775385689,5.04E-30,4.21E-28
VAV2,7410,2620.867936,0.786005376,6E-30,4.99E-28
C10orf99,387695,13.11097317,-4.059157663,7.2E-30,5.96E-28
SLC25A22,79751,2158.277213,1.058724522,7.27E-30,5.99E-28
RHOBTB2,23221,1424.930349,-1.281116252,8.41E-30,6.85E-28
ARC,23237,162.8606321,-2.851676165,8.38E-30,6.85E-28
CA14,23632,174.8773222,-2.763010104,8.36E-30,6.85E-28
ATP1A4,480,10.3449292,-3.048024394,1.09E-29,8.84E-28
ANGPT1,284,964.2932662,-2.009605758,1.23E-29,9.89E-28
CLCNKB,1188,26.44219471,-2.414655912,1.35E-29,1.08E-27
HMGN4,10473,2977.605447,-0.575358128,1.42E-29,1.14E-27
LAPTM4A,9741,17207.99564,-0.980910337,1.45E-29,1.16E-27
TES,26136,4087.736687,-1.141993378,1.47E-29,1.16E-27
PPARGC1A,10891,316.1839836,-1.907304529,1.46E-29,1.16E-27
ANO6,196527,3155.009999,-1.398828845,1.57E-29,1.24E-27
GMDS,2762,2223.681339,1.493234105,1.65E-29,1.29E-27
ITSN1,6453,1692.034635,-0.920670622,1.72E-29,1.34E-27
LURAP1,541468,121.921596,-1.638409693,1.74E-29,1.36E-27
PLCD1,5333,939.106844,-0.740853886,1.83E-29,1.42E-27
KLHL4,56062,26.56466725,-2.194480206,1.94E-29,1.5E-27
HOXB7,3217,176.5401502,-2.494742256,2.03E-29,1.56E-27
ADTRP,84830,235.0908739,-3.227388767,2.29E-29,1.75E-27
WFDC2,10406,3201.356326,-2.454856572,2.31E-29,1.76E-27
TMEM237,65062,1183.508013,-0.818602777,2.4E-29,1.82E-27
CERS1,10715,185.0762626,2.37722177,2.45E-29,1.86E-27
RHBDL3,162494,100.6256897,-1.870639186,2.56E-29,1.92E-27
SLCO3A1,28232,507.3002301,-1.459632387,2.64E-29,1.98E-27
TOR1AIP1,26092,4204.965583,-0.729266267,2.84E-29,2.11E-27
CLCA2,9635,220.3461324,-3.372939708,2.83E-29,2.11E-27
KRT24,192666,18.67150823,-4.814709293,3.03E-29,2.25E-27
GSTM4,2948,1077.318551,-1.319145721,3.3E-29,2.44E-27
GRAMD1B,57476,43.54169808,-2.389450299,3.34E-29,2.46E-27
LY6D,8581,133.8531521,-3.718846796,3.91E-29,2.86E-27
VAMP3,9341,4143.837353,-0.456810242,4.1E-29,3E-27
,724102,45.17286829,2.062076518,4.3E-29,3.1E-27
CCDC40,55036,388.1102023,1.15513006,4.28E-29,3.1E-27
MGAT4C,25834,4.9457338,-2.494275659,4.27E-29,3.1E-27
PLBD1,79887,429.2324326,-1.536253245,4.6E-29,3.31E-27
SEC16A,9919,14660.02227,0.814268309,4.69E-29,3.36E-27
PAX8,7849,339.342912,-3.143683802,4.84E-29,3.46E-27
COLCA2,120376,134.2003404,-1.275552665,4.89E-29,3.48E-27
SLC25A12,8604,1298.633125,-0.766628132,5.01E-29,3.55E-27
,341277,10.31368902,-3.437422135,5.1E-29,3.6E-27
TMEM184A,202915,3001.609899,1.28705926,5.13E-29,3.61E-27
FBXO30,84085,841.9011254,-0.959150961,5.2E-29,3.65E-27
DCHS2,54798,88.20352426,-2.317386331,5.47E-29,3.82E-27
MYBL2,4605,271.6731292,2.280192341,5.52E-29,3.84E-27
TRPM5,29850,30.93234758,-3.778153525,5.8E-29,4.02E-27
PAQR6,79957,443.90883,2.201959488,5.9E-29,4.08E-27
KIF4A,24137,165.1408206,2.262862405,5.94E-29,4.09E-27
KATNAL1,84056,538.531359,-1.143232449,6.19E-29,4.25E-27
SNPH,9751,830.4383298,-1.86624523,6.26E-29,4.27E-27
,100129066,44.21716292,2.271077747,6.41E-29,4.37E-27
NECAB1,64168,335.7890286,-1.768418958,7.56E-29,5.13E-27
ETNK2,55224,663.288063,-1.290496339,9.04E-29,6.11E-27
DCUN1D4,23142,1372.86838,-0.606691325,9.41E-29,6.32E-27
RAPGEFL1,51195,580.0903187,-1.613077237,9.4E-29,6.32E-27
DAB2IP,153090,2796.11754,-0.992568595,1.01E-28,6.78E-27
MPZL2,10205,4254.115575,-1.07999143,1.02E-28,6.78E-27
DMD,1756,1831.993047,-1.747153426,1.07E-28,7.1E-27
KIF9,64147,440.948002,1.064827827,1.08E-28,7.17E-27
C2CD4C,126567,103.671934,2.259332751,1.11E-28,7.34E-27
CPLX1,10815,253.935919,1.323847089,1.17E-28,7.67E-27
B4GALNT4,338707,954.8790553,1.894113564,1.17E-28,7.68E-27
UNC5A,90249,658.5557058,3.648810817,1.22E-28,7.97E-27
CHST11,50515,190.5669573,-1.663606036,1.3E-28,8.46E-27
RAB9B,51209,67.28072251,-2.024087272,1.33E-28,8.65E-27
MECOM,2122,726.3368781,-1.622942633,1.41E-28,9.14E-27
RNF157,114804,1731.220472,2.661361114,1.47E-28,9.47E-27
UGT2B4,7363,194.9455692,3.621660011,1.48E-28,9.48E-27
TMEM120B,144404,1220.661608,0.882757708,1.57E-28,1E-26
MGAT4B,11282,3805.409784,0.694565364,1.58E-28,1E-26
